Region_Code,Prefecture,Total_Population,Japanese_Population,Population_Under_15,Population_15_to_64,Population_65_and_Over,Foreign_Population,Number_of_Births,Total_Fertility_Rate,Number_of_Deaths,In_Migrants_Japanese,Out_Migrants_Japanese,Number_of_Private_Households,Private_Household_Members,One_Person_Households,Number_of_Marriages,Number_of_Divorces,Total_Area_sq_km,Habitable_Area_sq_km,Natural_Park_Area_sq_km,Gross_Prefectural_Product_2015_base,Prefectural_Income_2015_base,Per_Capita_Prefectural_Income_2015_base,Number_of_Establishments_Private,Establishments_Construction_Private,Establishments_Manufacturing_Private,Establishments_Information_and_Communications_Private,Establishments_Wholesale_and_Retail_Private,Establishments_Accommodation_and_Food_Services_Private,Establishments_Living_related_and_Amusement_Services_Private,Establishments_Medical_and_Welfare_Private,Number_of_Employees_Private,Employees_Construction_Private,Employees_Manufacturing_Private,Employees_Information_and_Communications_Private,Employees_Wholesale_and_Retail_Private,Employees_Accommodation_and_Food_Services_Private,Employees_Living_related_and_Amusement_Services_Private,Employees_Medical_and_Welfare_Private,Commercial_Farm_Households,Non_commercial_Farm_Households,Cultivated_Land_Area,Number_of_Hotels_and_Ryokans,Number_of_Guest_Rooms,Number_of_Kindergartens,Kindergarten_Enrollment,Number_of_Elementary_Schools,Elementary_School_Pupils,Number_of_Junior_High_Schools,Junior_High_School_Students,Number_of_Compulsory_Education_Schools,Students_in_Early_Grades_Compulsory_Ed,Students_in_Later_Grades_Compulsory_Ed,Number_of_Senior_High_Schools,Senior_High_School_Students,Number_of_Junior_Colleges,Number_of_Universities,Junior_College_Students,University_Students,Number_of_Community_Centers,Number_of_Libraries,Number_of_Museums,Number_of_Theaters_and_Concert_Halls,Public_Sports_Facilities,Private_Sports_Facilities,Number_of_Cinemas,Number_of_Passports_Issued,Total_Overnight_Guests,Total_Foreign_Overnight_Guests,Total_Dwellings,Vacant_Dwellings,Owned_Dwellings,Detached_Houses,Floor_Area_per_Dwelling_sq_m,Total_Population_Sewage,Population_without_Flush_Toilets,Total_Waste_Discharge_t,Waste_Discharge_per_Person_per_Day_g,Recycling_Rate_pct,Number_of_Retail_Stores,Number_of_Restaurants,Number_of_Large_Scale_Retail_Stores,Number_of_General_Hospitals,Number_of_General_Clinics,Number_of_Dental_Clinics,Number_of_Physicians,Number_of_Dentists,Number_of_Pharmacists,Number_of_Daycare_Centers,Children_in_Daycare,Consumer_Expenditure_Two_or_more_person_households,Food_Expenses_Two_or_more_person_households,Housing_Expenses_Two_or_more_person_households,Culture_and_Recreation_Expenses_Two_or_more_person_households
R27000,大阪府,8763000,8488000,984000,5355000,2424000,208681,57315,1.22,106277,159522,146451,4126995,8659723,1727107,40362,14462,190534,133407,20039,39720316,25007562,2830,384332,27254,38943,6909,90008,44729,27032,38092,4528208,242668,593281,182399,970064,362394,152666,648267,7413,13400,12000,1572,122729,520,62788,983,410467,513,217213,10,4547,2131,254,198941,21,58,6908,232937,197,155,38,69,1194,2012,36,296496,44005760,15669930,4928600,701900,2285500,1671500,75.53,8810995,97602,2891792,899,13.0,54764,39358,1355,467,8821,5468,26518,7954,27586,1595,163302,271246,85042,20861,25851
R28000,兵庫県,5370000,5247000,629000,3132000,1609000,87280,33565,1.31,66541,82910,89914,2399358,5355504,862511,20844,7902,840095,276947,166081,21735871,15775060,2887,203113,16634,16573,1800,47973,25617,16729,20248,2221469,110274,401351,26824,436975,194110,85553,352550,37025,30099,72000,1433,46953,428,35056,737,270738,375,140958,8,2672,1348,205,123589,15,35,4264,114154,280,107,36,62,1118,1517,24,165023,12940710,908310,2798000,386900,1545000,1189600,92.27,5461580,74808,1743413,875,15.2,35621,21971,815,314,5218,2960,15602,4145,15594,1113,105663,279880,85960,16138,29444
R29000,奈良県,1296000,1279000,145000,728000,423000,11505,7315,1.25,17166,22010,24022,543908,1292985,159204,4205,1780,369094,85389,63328,3685868,3312742,2501,45583,3574,4228,334,10853,4649,3872,4764,444916,21134,70496,2278,92250,39555,20017,90110,10616,11334,19000,407,10209,133,8436,188,62281,107,34054,8,1803,683,51,31118,3,10,1223,19240,348,33,22,31,489,320,6,36534,2119760,218740,639500,93600,397300,366400,109.72,1326195,50398,416988,861,15.7,8658,3753,184,71,1225,682,3868,949,3219,223,24389,313833,85274,11799,30883
R30000,和歌山県,892000,884000,99000,488000,305000,6029,5238,1.39,14308,10787,13316,393489,896425,127908,3193,1386,472469,112339,60296,3625091,2538381,2751,45309,4235,3526,268,11385,5221,3959,4361,378695,24952,60800,2870,77638,33631,14645,67999,17250,8013,31000,649,16922,63,3695,240,42164,126,23002,1,542,207,47,22311,1,5,278,8601,251,27,13,19,442,162,5,16762,3684370,246540,495600,105300,285200,288100,107.00,926004,136969,310199,918,12.4,8842,4192,137,75,1030,520,3010,698,2346,192,19912,259437,74738,15699,22743
R31000,鳥取県,537000,532000,65000,294000,179000,4310,3752,1.60,8031,7578,9466,219069,535393,70641,1981,763,350703,90422,49061,1819938,1280301,2313,24242,2217,1467,234,6116,2887,2398,2253,230055,17467,34804,3171,46014,19494,8809,41538,13911,9195,33000,329,9730,18,1514,114,27232,56,13904,6,669,308,32,13868,1,3,517,6769,173,30,7,13,495,105,2,7863,1878060,57500,262300,41300,152700,157700,120.36,547753,29983,197867,990,28.3,4688,2280,69,39,485,258,1878,383,1243,187,16514,272599,73150,12297,26546
R32000,島根県,650000,640000,77000,346000,227000,8230,4161,1.57,10434,9318,11258,268462,645246,89036,2167,813,670761,127081,40240,2575687,1857670,2768,32637,3390,2099,252,8218,3271,3021,2950,296596,26155,44821,3371,57786,20706,10499,53421,14397,12789,35800,378,11074,76,2002,196,32449,95,16609,3,1046,629,47,16854,1,2,263,7283,156,41,21,20,524,89,3,7636,2863760,46930,320300,54600,183600,186200,122.41,659863,98740,222774,925,19.8,6354,2536,82,37,707,251,2153,398,1451,297,20644,294837,76446,15875,24889
R33000,岡山県,1847000,1814000,220000,1054000,573000,25116,12371,1.39,24901,25298,29568,799611,1836335,284926,7399,2787,711460,222854,80664,7606440,5033198,2665,78646,8253,6376,713,19505,7637,6744,6999,838870,59984,163799,11395,160365,58112,27847,134774,27937,22798,62000,664,21300,199,9934,375,94614,163,49563,2,314,187,86,47875,8,18,1938,37991,394,70,33,39,792,405,7,34375,4634900,285440,955400,157200,521000,522800,104.34,1866595,173636,612305,899,23.5,14312,6223,285,143,1608,995,6271,1764,4245,456,44721,300973,81556,13911,29238
R34000,広島県,2738000,2682000,331000,1582000,825000,47733,17903,1.40,34940,40561,47957,1241204,2725202,462961,10883,3962,847894,229802,37857,11555366,8312168,2969,122155,11370,9429,1264,30092,13344,10200,10739,1303624,87579,230685,23310,269673,92954,46624,192952,20861,24474,50900,729,32275,208,16632,463,141948,261,74909,7,1515,850,128,66888,4,21,1279,54229,242,86,30,47,1039,569,15,55849,9615410,944830,1465500,231400,760900,676500,93.15,2775311,195873,874064,863,20.5,20747,11417,453,201,2537,1502,7870,2508,7324,698,60603,305373,83473,27143,26681
R35000,山口県,1298000,1279000,143000,696000,459000,14378,7762,1.47,20687,20183,24397,597309,1293822,218208,4593,1757,611261,171523,42971,6148146,3973132,2960,56452,5961,3241,435,14589,5986,5148,5213,574259,44055,100988,4962,114931,43587,21495,100082,14837,12501,43200,598,17963,155,11583,296,61935,160,33333,0,0,0,75,29697,5,10,809,18247,160,55,24,36,714,303,6,22088,3222390,85670,726400,140700,390500,388300,101.68,1328585,87883,467761,965,22.7,11222,4797,192,112,1224,641,3737,951,3524,301,23104,286970,76261,18111,27750
R36000,徳島県,695000,688000,74000,376000,246000,5033,4148,1.42,10968,8397,10744,307358,693391,109570,2375,1008,414699,101628,38706,3185168,2167982,3013,34119,3226,2327,249,8413,3903,3177,3154,304530,20972,52660,3061,58794,23425,11499,58082,14059,11060,27500,454,9610,85,3906,184,33085,89,17116,0,0,0,36,15854,3,4,570,11510,318,29,11,13,347,135,1,11271,1701790,90220,389200,83000,206300,210500,110.25,718962,43559,247038,941,16.2,6508,3088,79,91,703,422,2478,833,2595,213,16038,301013,74957,18894,29700
